Question,Answer,Marathi,Example,Mnemonic,AI Notes,Reference
What does 「そして」mean?,And / And then (used at the beginning of a sentence to add more information or chronological steps).,"तो अभ्यास करतो आणि नंतर खेळतो — He studies and then plays. Both use sequential linkers, but '그리고' or 'आणि' starts clauses naturally.","Easy: 京都へ行きました。そして、写真を撮りました。(きょうとへ いきました。そして、しゃしんを とりました。) — I went to Kyoto. And then, I took pictures. (Why: Links two sequentially completed historical actions.)
Medium: 彼女は親切です。そして、きれいです。(かのじょは しんせつです。そして、きれいです。) — She is kind. And also, she is beautiful. (Why: Connects two positive descriptive adjective sentences.)
Hard: 図書館で本を読みました。そして、六時にうちへ帰りました。(としょかんで ほんを よみました。そして、ろくじに うちへ かえりました。) — I read a book at the library. And then, I returned home at six. (Why: Links past narrative segments involving local actions and spatial shifts.)","そして starts a brand-new sentence, bridging the previous idea to what comes next.","Common mistake: overusing そして to link every single sentence in a row — natural Japanese uses it
sparingly, often preferring て-form verb chaining or just context for closely related actions.",Analysis checklist #67 (jlpt_n5_flashcard_checklist.md)
What does 「それから」mean?,After that / Next / In addition (conjunction used to list subsequent actions or items).,"मी जेवलो, त्यानंतर झोपलो — I ate, after that I slept. Matches the Marathi chronological connector 'त्यानंतर' (tyananatar).","Easy: 宿題をします。それから、テレビを見ます。(しゅくだいを します。それから、てれびを みます。) — I will do homework. After that, I will watch TV. (Why: Connects two planned future events in sequence.)
Medium: スーパーで肉を買いました。それから、卵も買いました。(すーぱーで にくを かいました。それから、たまごも かいました。) — I bought meat at the supermarket. In addition, I bought eggs too. (Why: Joins a past purchasing sequence emphasizing additive noun listings with も.)
Hard: 朝ご飯を食べました。それから、歯を磨いて学校へ行きました。(あさごはんを たべました。それから、はを みがいて がっこうへ いきました。) — I ate breakfast. After that, I brushed my teeth and went to school. (Why: Joins a multi-action compound sentence with a sequential conjunction.)","それ (that) + から (from) = ""from that point"" — i.e., ""after that.""","Common mistake: treating そして and それから as fully interchangeable — それから more strongly implies
a following STEP or additional item in a sequence, while そして is a more general, looser connective.",Analysis checklist #68 (jlpt_n5_flashcard_checklist.md)
What does 「でも」mean?,But / However (used at the beginning of a sentence to introduce a contrast).,तो हुशार आहे पण आळशी आहे — He is smart but lazy. The contrastive sentence opener corresponds directly to the Marathi 'पण' (pan) or 'परंतु' (parantu).,"Easy: 日本語は難しいです。でも、おもしろいです。(にほんごは むずかしいです。でも、おもしろいです。) — Japanese is difficult. But, it is interesting. (Why: Contrasts two opposing adjective sentences.)
Medium: 旅行に行きたいです。でも、お金がありません。(りょこうに いきたいです。でも、おかねが ありません。) — I want to go on a trip. However, I don't have money. (Why: Contrasts a personal desire sentence with a practical constraint.)
Hard: 新しい携帯電話を買いました。でも、使い方がよく分かりません。(あたらしい けいたいでんわを かいました。でも、つかいかたが よく わかりません。) — I bought a new cell phone. But, I don't know how to use it well. (Why: Contrasts a purchase action with a lack of procedural knowledge.)","でも starts a new sentence with a ""but wait..."" tone, flipping the previous idea.","Common mistake: confusing sentence-starting でも (but/however) with the も-derived ""even"" meaning
attached to a noun (誰でも = ""anyone,"" 何でも = ""anything"") — the position (sentence start vs.
attached to a word) tells the two uses apart.",Analysis checklist #69 (jlpt_n5_flashcard_checklist.md)
"What does 「が (but, sentence-connecting)」mean?",But / Although (used as a mid-sentence particle to join two contrasting clauses).,मी अभ्यास केला पण गुण मिळाले नाहीत — I studied but didn't get marks. The mid-clause contrastive 'が' mirrors the Marathi coordinating conjunction 'पण' (pan).,"Easy: この辞書は古いですが、いいです。(この じしょは ふるいですが、いいです。) — This dictionary is old, but it is good. (Why: Joins two contrasting い-adjectives inside one sentence.)
Medium: 寿司を食べたいですが、お金がありません。(すしを たべたいですが、おまねが ありません。) — I want to eat sushi, but I don't have money. (Why: Combines a desire state with a limiting financial state.)
Hard: 漢字の勉強は大変ですが、とても楽しいです。(かんじの べんきょうは たいへんですが、とても たのしいです。) — Studying kanji is hard, but it is very fun. (Why: Contrasts a な-adjective status clause with an active adjective outcome.)","Mid-sentence が acts as a soft ""...but"" hinge connecting two contrasting halves of ONE sentence.","Common mistake: confusing this が with the subject-marking が (particle card 2) — this one always
comes right after a full clause ending in です/ます, never directly after a bare noun, so the
position gives it away.",Analysis checklist #70 (jlpt_n5_flashcard_checklist.md)
"What does 「から (so, conjunction)」mean?",So / Therefore (placed mid-sentence after a reason clause to trigger a logical consequence).,मला उशीर झाला म्हणून मी धावलो — I got late so I ran. The logical flow from reason (ending in から) to result matches the Marathi connector 'म्हणून' (mhanun).,"Easy: 寒いから窓を閉めます。(さむいから まどを しめます。) — It is cold, so I will close the window. (Why: Shows physical condition causing a logical action.)
Medium: バスが来ませんでしたから遅れました。(ばすが きませんでしたから おくれました。) — The bus did not come, so I was late. (Why: Connects a past negative verbal event to a past consequence.)
Hard: 日曜日ですからデパートは人が多いでしょう。(にちようびですから でぱーとは ひとが おおいでしょう。) — Since it is Sunday, the department store will probably be crowded. (Why: Links a noun reason to a probabilistic outcome.)","[Reason]から、[Result] — the reason always leads, から is the hinge, the result follows.","Common mistake: putting the result before the reason out of habit from English (""I was late because
..."") — Japanese word order always states the reason clause FIRST, ending in から, before the result.",Analysis checklist #71 (jlpt_n5_flashcard_checklist.md)
What does 「~でしょう」mean?,"Probably / I guess (expresses polite probability, prediction, or conjecture about an event).",आज कदाचित पाऊस पडेल — It will probably rain today. Matches the speculative verb forms in Marathi expressing probability.,"Easy: 明日は晴れでしょう。(あしたは はれでしょう。) — Tomorrow will probably be sunny. (Why: Predicts weather politely using a noun ending.)
Medium: あの映画はきっとおもしろいでしょう。(あの えいがは きっと おもしろいでしょう。) — That movie will surely be interesting. (Why: Combines the probabilistic ending with an い-adjective and adverb きっと.)
Hard: 今晩は忙しいですから友達は来ないでしょう。(こんばんは いそがしいですから ともだちは こないでしょう。) — Since my friend is busy tonight, they probably will not come. (Why: Conjoins an adjective reason clause to a negative probabilistic outcome.)","でしょう softens です into a guess — ""probably-desu.""","Common mistake: using でしょう for something the speaker is actually certain about — it specifically
signals uncertainty or prediction; for known facts, plain です/ます is more natural.",Analysis checklist #72 (jlpt_n5_flashcard_checklist.md)
What does 「~でしょうか」mean?,"I wonder if... / Could you tell me...? (a very polite, indirect question form).","मला ती मदत करेल का? — I wonder if she will help me?. The indirect, soft questioning tone aligns with using 'का?' softly on potential situations.","Easy: これはだれの本でしょうか。(これは だれの ほんでしょうか。) — I wonder whose book this is. (Why: Softens a basic possessive question using でしょうか.)
Medium: 明日、雨が降るでしょうか。(あした、あめが ふるでしょうか。) — Do you think it will rain tomorrow? (Why: Expresses polite inquiry about a natural future event.)
Hard: この近くに郵便局があるでしょうか。(この ちかくに ゆうびんきょくが あるでしょうか。) — I wonder if there is a post office nearby? (Why: Asks softly about local existence of services.)","でしょう (probably) + か (question) = ""I wonder...?"" — a softer, more polite way of asking indirectly.","Common mistake: using でしょうか as a blunt direct question — it's meant for SOFT, indirect wondering,
more polite than plain ですか, and often used when unsure or being extra courteous (e.g. asking a
stranger for directions).",Analysis checklist #73 (jlpt_n5_flashcard_checklist.md)
What does 「~んです」mean?,"Explanatory tone / used to emphasize a reason, ask for an explanation, or show deep interest.",मला खरोखरच तिथे जायचे आहे — I really want to go there. The explanatory '~んです' acts like adding an emphasizing tone to explain situations.,"Easy: どうしたんですか。(どうしたんですか。) — What happened? / What's the matter? (Why: Standard explanatory question used to ask for the background of a situation.)
Medium: 頭が痛いんです。(あたまが いたいんです。) — (You see,) my head hurts. (Why: Provides an internal, felt physical reason as an explanation.)
Hard: 旅行に行きたいんですが、どうすればいいですか。(りょこうに いきたいんですが、どうすれば いいですか。) — I'd like to go on a trip, but what should I do? (Why: Employs explanatory 'んです' to set the stage for seeking advice.)","ん is a shrunken の — のです softened into んです, adding a ""you see..."" explanatory undertone.","Common mistake: sprinkling んです into every sentence without needing the explanatory nuance —
overusing it can sound overly dramatic or nosy in casual contexts; save it for explaining
background, asking with concern, or giving a reason.",Analysis checklist #74 (jlpt_n5_flashcard_checklist.md)
What does 「~つもりです」mean?,Plan to / Intend to (used with dictionary form to state an active future intention or negative plan with ない-form).,माझा जपानला जाण्याचा विचार आहे — I plan to go to Japan. The verbal noun structure matches 'विचार आहे' or 'योजना आहे' structurally.,"Easy: 来年日本へ行くつもりです。(らいねん にほんへ いくつもりです。) — I plan to go to Japan next year. (Why: Combines a future time marker with dictionary verb and つもりです.)
Medium: 今日は何も買わないつもりです。(きょうは なにも かわないつもりです。) — I intend not to buy anything today. (Why: Shows negative intention using verb ない-form + つもりです.)
Hard: 大学で新しい外国語を勉強するつもりです。(だいがくで あたらしい がいこくごを べんきょうする つもりです。) — I plan to study a new foreign language at the university. (Why: Chains locative, object modifiers, and dictionary verbs into a clear intent declaration.)","つもり = a mental plan already decided — think ""I've turned this over in my mind and settled on it.""","Common mistake: confusing つもりです (a firm, already-decided intention) with たいです (a want/desire,
not necessarily decided) — つもりです implies you've made up your mind; たいです just expresses
wanting something without committing to it.",Analysis checklist #75 (jlpt_n5_flashcard_checklist.md)
What does 「~方 (かた)」mean?,How to / Way of doing (attached to the verbます-stem; the resulting word becomes a noun).,गाडी चालवण्याची पद्धत — The way of driving a car. The verbます-stem + 方 mirrors the Marathi construct 'क्रियापद + करण्याची पद्धत'.,"Easy: この漢字の読み方を教えてください。(この かんじの よみかたを おしえてください。) — Please teach me the reading (way of reading) of this kanji. (Why: Attaches 方 to the ます-stem of 読む to form a compound noun.)
Medium: お箸の使い方を知っていますか。(おはしの つかいかたを しっていますか。) — Do you know how to use chopsticks? (Why: Uses the ます-stem of 使う with the direct object marker の.)
Hard: 美味しい日本料理の作り方を習いました。(おいしい にほんりょうりの つくりかたを ならいました。) — I learned how to make delicious Japanese food. (Why: Connects adjective modifiers and compound noun creations under a past action verb.)","方 (かた) on a verb's ます-stem turns ""the act of doing X"" into ""the WAY of doing X"" — 読み(ます)+方 =
読み方, ""way of reading.""","Common mistake: attaching 方 to the wrong verb form — it always attaches to the ます-stem, not the
dictionary form or て-form (読みます→読み方, not 読む方 or 読んで方). Also, this pattern is flagged in
the checklist itself as often being N4-level, so treat it as a bonus/preview pattern rather than a
core N5 requirement.",Analysis checklist #76 (jlpt_n5_flashcard_checklist.md)
"What does 「ます-form (present/future, affirmative)」mean?","Polite present or future affirmative form used to express habits, general truths, or future intentions.",मी रोज अभ्यास करतो (मी रोज अभ्यास करते) — I study every day. Both languages are SOV and place the polite verb form at the absolute end of the sentence to show respect.,"Easy: 毎日日本語を勉強します。 (まいにちにほんごをべんきょうします。) — I study Japanese every day. (Why: Explains a habitual daily action using the polite present form.)
Medium: 明日友達と図書館に行きます。 (あしたともだちとしょかんじょにいきます。) — I will go to the library with my friend tomorrow. (Why: Marks a future intention scheduled for tomorrow with a target destination.)
Hard: 毎週日曜日にデパートで買い物をします。 (まいしゅうにちようびにでぱーとでかいものをします。) — I do shopping at the department store every Sunday. (Why: Combines a recurring weekly time marker, location of action, and a compound verb.)","ます is the ""polish"" you put on any verb to make it presentable in public — plain 食べる becomes
polite 食べます.","Common mistake: keeping ます-form on a verb embedded before a grammar pattern that needs the plain
form instead (e.g. ことができます needs 食べること, not 食べますこと) — ます belongs on the final verb
of a polite sentence, not mid-sentence.",Analysis checklist #23 (jlpt_n5_flashcard_checklist.md)
"What does 「ません (present/future, negative)」mean?","Polite present or future negative form meaning ""do not"" or ""will not.""","मी चहा पीत नाही — I do not drink tea. Just as Marathi places the negative auxiliary ""नाही"" at the end of the clause, Japanese uses ""ません"" to negate the verb sentence-finally.","Easy: お酒を飲みません。 (おさけをのみません。) — I do not drink alcohol. (Why: States a personal habit or general rule in the polite negative.)
Medium: 今日はテレビを見ません。 (きょうはてれびをみません。) — I will not watch TV today. (Why: Indicates a specific negative plan or choice for the current day.)
Hard: 私はその漢字がよく分かりません。 (わたしはそのかんじがよくわかりません。) — I do not understand those kanji characters well. (Why: Negates the intransitive verb of understanding, modified by the adverb ""well."")","Swap す for せん — ます becomes ません, like flipping a switch off.","Common mistake: piling on an extra ない somewhere too (❌ 飲みませんない) — ません is already the
complete negative; there's nothing left to negate again.",Analysis checklist #24 (jlpt_n5_flashcard_checklist.md)
"What does 「ました (past, affirmative)」mean?","Polite past affirmative form meaning ""did.""","मी काल पत्र लिहिले — I wrote a letter yesterday. In both languages, the verb conjugates into the past tense and sits at the very end of the sentence.","Easy: 昨日買い物をしました。 (きのうかいものをしました。) — I went shopping yesterday. (Why: Highlights a completed action in the past using a standard time adverb.)
Medium: 今朝七時に起きました。 (けさしちじにおきました。) — I woke up at seven o'clock this morning. (Why: Pairs a past action with a specific time point marked by the particle に.)
Hard: 先週の日曜日に友達に会いました。 (せんしゅうのにちようびにともだちにあいました。) — I met my friend last Sunday. (Why: Demonstrates a past event with a specific target person marked by the particle に.)","ます → ました, just like English adds ""-ed"" for past tense.","Common mistake: using でした on a verb instead of ました (❌ 食べるでした) — でした is only for
nouns/な-adjectives; verbs always take ました for the polite past.",Analysis checklist #25 (jlpt_n5_flashcard_checklist.md)
"What does 「ませんでした (past, negative)」mean?","Polite past negative form meaning ""did not.""",मी अभ्यास केला नाही — I did not study. Both languages place the negative past inflected markers at the end of the sentence.,"Easy: 朝ご飯を食べませんでした。 (あすごはんをたべませんでした。) — I did not eat breakfast. (Why: Indicates a simple non-event in the past morning.)
Medium: 昨日はどこへも行きませんでした。 (きのうはどこへもいきませんでした。) — I did not go anywhere yesterday. (Why: Uses the complete negative location phrase ""どこへも"" with past negation.)
Hard: 先週は忙しくて本を読みませんでした。 (せんしゅうはいそがしくてほんをよみませんでした。) — Last week I was busy and did not read books. (Why: Connects a past reason in the て-form of an adjective with a final negative past verb.)","Combine both pieces: ません (negative) + でした (past) = ""didn't.""","Common mistake: slipping in plain-form だった (❌ ませんだった) — the polite past negative is always
ませんでした, never mixed with a plain-form ending.",Analysis checklist #26 (jlpt_n5_flashcard_checklist.md)
What does 「て-form formation」mean?,"The conjunctive form of verbs used to connect clauses, list sequential actions, or attach grammatical helpers.","मी उठून चहा पितो — I wake up and drink tea. The Marathi suffix ""-ऊन"" (e.g. उठून - having woken up) is a perfect syntactic parallel to the Japanese て-form for linking actions consecutively.","Easy: 朝起きて、水を飲みます。 (あさおきて、みずをのみます。) — I wake up in the morning and drink water. (Why: Uses the て-form of 起きる to link two actions chronologically.)
Medium: 図書館に行って、本を読みました。 (としょかんにいって、ほんをよみました。) — I went to the library and read a book. (Why: Shows a series of completed past actions linked using the て-form of 行く.)
Hard: 毎晩お風呂に入ってから寝ます。 (まいばんおふろにはいってからねます。) — Every night I take a bath and then sleep. (Why: Pairs the て-form with から to emphasize that one action happens strictly after another.)","Think of て as a connector hook linking one action to the next, like a chain link between clauses.","Common mistake: applying the wrong sound-shift rule for group-1 (u-verb) て-forms (う/つ/る→って,
む/ぬ/ぶ→んで, く→いて, ぐ→いで, す→して) — these are grouped by the verb's final sound, not
guessable, so they need direct memorization.",Analysis checklist #27 (jlpt_n5_flashcard_checklist.md)
What does 「~てください」mean?,"A polite request meaning ""please do this action.""","कृपया पुस्तक उघडा — Please open the book. Both languages utilize a polite imperative ending (Marathi ""-ा"" ending and Japanese ""てください"") to request action.","Easy: 本を読んでください。 (ほんをよんでください。) — Please read the book. (Why: Requests a basic action using the て-form of 読む.)
Medium: ここに名前を書いてください。 (ここになまえをかいてください。) — Please write your name here. (Why: Directs a polite request to a specific location marked by the particle に.)
Hard: すみませんが、ゆっくり話してください。 (すみませんが、ゆっくりはなしてください。) — Excuse me, but please speak slowly. (Why: Combines a polite sentence opener with an adverb modifying the requested action.)","て-form + ください = ""please give [me the action]"" — literally handing over the て-form as a request.","Common mistake: attaching ください straight to the dictionary form or ます-form (❌ 読むください, ❌
読みますください) — it must always follow the て-form (読んでください).",Analysis checklist #28 (jlpt_n5_flashcard_checklist.md)
What does 「~ています (progressive)」mean?,"The progressive state indicating that an action is currently ongoing (""is doing"").","मी अभ्यास करत आहे — I am studying. Marathi uses the helper verb ""आहे"" with the continuous participle ""करत"", structurally paralleling the て-form + います helper.","Easy: テレビを見ています。 (てれびをみています。) — I am watching TV. (Why: Expresses a standard active process occurring at the present moment.)
Medium: 彼は今日本語を勉強しています。 (かれはいまにほんごをべんきょうしています。) — He is studying Japanese right now. (Why: Combines an ongoing continuous activity with a specific subject and time modifier.)
Hard: 外で雨が降っています。 (そとであめがふっています。) — It is raining outside. (Why: Shows an ongoing natural phenomenon marked by the subject marker が.)","て-form + います = ""doing-and-existing-right-now"" — picture the action frozen mid-motion.","Common mistake: assuming ています always means ""in progress"" — for instantaneous change-of-state
verbs (結婚する, 住む, 知る) it instead describes a resulting STATE, not an ongoing process (see the
next card).",Analysis checklist #29 (jlpt_n5_flashcard_checklist.md)
What does 「~ています (state/habitual)」mean?,"Expresses a stable state resulting from a past action, or a long-term habitual action such as occupation or residence.",मी मुंबईत राहत आहे — I live in Mumbai. Both languages use their progressive structures to indicate a continuous state of residence or occupation rather than a momentary action.,"Easy: 東京に住んでいます。 (とうきょうにすんでいます。) — I live in Tokyo. (Why: Denotes a stable state of living in a specific city marked by に.)
Medium: 私は結婚しています。 (わたしはけっこんしています。) — I am married. (Why: Demonstrates a permanent state resulting from the past action of getting married.)
Hard: 姉は大学で教えています。 (あねはだいがくでおしえています。) — My older sister teaches at a university. (Why: Shows a habitual professional occupation using the state function at a location marked by で.)","Same て-form + います, but for ""instant-change"" verbs it reads as ""the result is still true,"" not ""in
the middle of happening.""","Common mistake: translating 結婚しています as ""I am getting married"" (in progress) instead of ""I am
married"" (resulting state) — momentary/change-of-state verbs flip ています from progressive to
stative meaning.",Analysis checklist #30 (jlpt_n5_flashcard_checklist.md)
What does 「~てもいいです」mean?,"Expresses permission meaning ""may"" or ""it is okay to do.""","तू आत आला तरी चालेल — It is okay even if you come in. The Marathi phrasing ""आला तरी चालेल"" (even if you do X, it is fine) mirrors the concessive syntax of the て-form + も (even) + いいです (is good).","Easy: 入ってもいいです。 (はいってもいいです。) — You may enter. (Why: Grants permission to perform a simple movement.)
Medium: ここで写真を撮ってもいいですか。 (ここでしゃしんをとってもいいですか。) — May I take pictures here? (Why: Formulates a polite question asking for permission to do an action at a location.)
Hard: 暑いので、窓を開けてもいいですか。 (あついので、まどをあけてもいいですか。) — Since it is hot, may I open the window? (Why: Prefaces a request for permission with an adjective clause explaining the physical reason.)","て-form + も (even) + いいです (is good) = ""even if [you do this], it's fine.""","Common mistake: dropping the か when actually asking for permission — てもいいです alone is a
statement of general permission; てもいいですか is the real question ""may I?""",Analysis checklist #31 (jlpt_n5_flashcard_checklist.md)
What does 「~てはいけません」mean?,"Expresses a formal prohibition meaning ""must not"" or ""is not allowed to.""","तिथे कचरा टाकू नका (तिथे कचरा टाकण्यास मनाई आहे) — You must not throw garbage there. Marathi uses ""मनाई आहे"" or negative imperatives to convey prohibition at the end of the sentence.","Easy: ここで泳いではいけません。 (ここでおよいではいけません。) — You must not swim here. (Why: Forbids an action in a specified location.)
Medium: 教室の中で歌ってはいけません。 (きょうしつのなかでうたってはいけません。) — You must not sing inside the classroom. (Why: Sets a strict behavioral rule within a specific compound space.)
Hard: 危ないですから、そこに入ってはいけません。 (あぶないですから、そこにはいってはいけません。) — Since it is dangerous, you must not enter there. (Why: Links a cause using the explanation marker ですから with a direct spatial prohibition.)","て-form + は (as for) + いけません (no good) = ""as for doing this — no good.""","Common mistake: confusing てはいけません (formal, rule-like prohibition) with ないでください (a
softer personal request not to do something) — てはいけません sounds like a posted rule or law, not
a casual ask.",Analysis checklist #32 (jlpt_n5_flashcard_checklist.md)
"What does 「Dictionary form (plain, present)」mean?","The basic, uninflected form of verbs used in casual speech or as modifiers before certain nouns.","तो रोज धावतो — He runs every day. Both languages utilize the plain, basic verb form to express habitual actions or future predictions in casual settings.","Easy: 毎日走る。 (まいにちはしる。) — I run every day. (Why: Showcases a habitual plain present verb in casual speech.)
Medium: 明日友達に会う。 (あしたともだちにあう。) — I will meet my friend tomorrow. (Why: Predicts a future event casually using the dictionary form.)
Hard: 私は来年日本に行くつもりです。 (わたしはらいねんにほんにおいくつもりです。) — I plan to go to Japan next year. (Why: Embeds the dictionary form before the auxiliary noun ""つもり"" to express future intent.)","The dictionary form is the verb's ""ID photo"" — the exact headword you'd look it up by, no
conjugation makeup applied.","Common mistake: using the dictionary form as the main verb in polite conversation — it's for casual
speech or as a base before certain grammar patterns (ことができます, つもりです); a polite sentence's
final verb still needs ます.",Analysis checklist #33 (jlpt_n5_flashcard_checklist.md)
"What does 「ない-form (plain, negative)」mean?","The plain negative form of verbs meaning ""do not"" or ""will not"" in casual context or grammar patterns.","तो काम करत नाही — He does not work. Reflects the casual negative present tense, where the main verb carries the negative element at the end of the sentence.","Easy: 今日は食べない。 (きょうはたべない。) — I will not eat today. (Why: Expresses a basic future refusal or choice in casual speech.)
Medium: お金がない。 (おかねがない。) — There is no money. (Why: Uses the plain negative irregular verb of existence to state a condition.)
Hard: 時間がないので、走る。 (じかんがないので、はしる。) — Since there is no time, I will run. (Why: Couples a plain negative reason clause using ので with a plain present verb.)","ない tacks onto the verb's negative stem — think ""nah, I won't"" (na-i).","Common mistake: mixing up group-1 (u-verb) and group-2 (る-verb) ない-form rules — group 2 just drops
る and adds ない (食べる→食べない), but group 1 shifts the final vowel to ""a"" first (飲む→飲まない). Mixing
these two patterns up is one of the most common N5 conjugation errors.",Analysis checklist #34 (jlpt_n5_flashcard_checklist.md)
What does 「Verb stem + たいです」mean?,"Expresses the speaker's desire to perform a specific action (""want to do"").","मला पाणी प्यायचे आहे — I want to drink water. The Marathi structure places the desired action first followed by ""पाहिजे"" or ""इच्छा आहे"", matching the placement of standard verbal intent markers in Japanese.","Easy: 水が飲みたいです。 (みずがのみたいです。) — I want to drink water. (Why: Expresses a basic physical desire, optionally using が with the たい form.)
Medium: 日本で寿司を食べたいです。 (にほんですしをたべたいです。) — I want to eat sushi in Japan. (Why: Combines a location marker and direct object with a stated wish.)
Hard: 休みの日にはどこへも行きたくないです。 (やすみのひにはどこへもいきたくないです。) — On my days off, I don't want to go anywhere. (Why: Integrates an negative shift of the たい form to express a total absence of desire to go anywhere.)","たい sounds like ""tie"" — ""I want to tie myself to doing this action.""","Common mistake: forgetting たいです is strictly for the SPEAKER's own desire (or asking the listener's,
in a question) — describing a third person's desire needs たがっている instead, which is beyond N5
but worth knowing exists. Also note the object particle often shifts from を to が with たい (水が
飲みたい), though を remains acceptable.",Analysis checklist #35 (jlpt_n5_flashcard_checklist.md)
